NOMBRE;FECHA
basta__abel_pintos_lo_que_mas_estoy_escuchando_es_metallica;2020-04-27 09:47:50.957969
basta__natalia_zuazo_la_salida_de_la_pandemia_va_a_estar_muy_acompanada_de_tecnologia;2020-04-27 09:47:52.962338
basta__el_peque_schwartzman_sobre_la_union_de_la_atp_y_la_wta_muchos_estamos_de_acuerdo_de_la_union_con_las_mujeres;2020-04-27 09:47:56.097143
basta__20kopeks_lo_que_encontre_en_las_islas;2020-04-27 09:47:59.594691
basta__cesar_luis_menotti_el_futbol_es_mucho_mas_que_un_negocio;2020-04-27 09:48:04.741038
basta__marichongo_y_todas_las_noticias_del_corazon_y_del_sexo_en_cuarentena;2020-04-27 10:04:34.223216
basta__cecilia_roth_necesito_que_todo_lo_que_estamos_viendo_y_aprendiendo_no_lo_perdamos;2020-04-27 10:04:38.166914
deacaenmas__oscar_herrera_ahuad_gobernador_de_misiones_pedimos_reforzar_fronteras_con_controles_federales_eso_le_pedimos_al_presidente_y_se_va_a_dar_3c;2020-04-27 10:32:33.616338
deacaenmas__cualquiera_que_tenga_venta_al_publico_puede_pedir_abrir_lucas_ghi_intendente_de_moron;2020-04-27 10:32:36.244707
deacaenmas__la_situacion_en_las_carceles_desbordadas_a_no_mirar_para_otro_lado__la_editorial_de_maria_odonnell;2020-04-27 10:32:37.547213
deacaenmas___teresa_rosendo__una_baja_implica_no_poder_abonar_la_totalidad_de_los_sueldos;2020-04-27 10:32:39.707788
deacaenmas__conversamos_con_el_dr_arnau_casanovas_massana_doctor_en_microbiologia_e_investigador_en_yale_me_interesa_saber_mas_sobre_el_tema_de_la_inmunidad_de_este_virus;2020-04-27 10:32:41.586429
deacaenmas__guillermo_guerci_sobre_las_medidas_economicas_del_gobierno_estos_son_los_parametros_para_creditos_a_tasa_cero;2020-04-27 10:32:43.800850
deacaenmas__escenario_economico_los_sectores_mas_pobres_los_mas_afectados_el_analisis_de_maria_odonnell;2020-04-27 10:32:45.191622
